"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Previous ID(s)","Chromosome","Ortholog count","Ortholog Group","Paralog count","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Transcript Length"
"PCHAS_0101700","PCHAS_0101700.1","P. chabaudi chabaudi","PCHAS_01_v3:72,154..73,400(+)","MYND-type zinc finger protein, putative","Previous IDs: PC000429.02.0;PC300837.00.0;PCAS_010170;PCHAS_010170","01","43","OG5_134284","0","3","3","1","null","null","786"
"PCHAS_0101800","PCHAS_0101800.1","P. chabaudi chabaudi","PCHAS_01_v3:74,377..75,330(+)","liver merozoite formation protein, putative","Previous IDs: PC000428.02.0;PCAS_010180;PCHAS_010180","01","44","OG5_166969","0","1","1","1","null","null","954"
"PCHAS_0101900","PCHAS_0101900.1","P. chabaudi chabaudi","PCHAS_01_v3:75,900..79,075(-)","elongation factor G, putative","Previous IDs: PC000426.02.0;PCAS_010190;PCHAS_010190","01","88","OG5_126692","1","4","4","1","null","null","2820"
"PCHAS_0102000","PCHAS_0102000.1","P. chabaudi chabaudi","PCHAS_01_v3:79,765..80,919(+)","geranylgeranyl transferase type-2 subunit beta, putative","Previous IDs: PC000430.02.0;PC000969.02.0;PC301049.00.0;PCAS_010200;PCHAS_010200","01","44","OG5_127744","0","1","1","1","null","null","1155"
"PCHAS_0102100","PCHAS_0102100.1","P. chabaudi chabaudi","PCHAS_01_v3:81,324..85,700(-)","SAC3 domain-containing protein, putative","Previous IDs: PC000233.05.0;PC000968.02.0;PC301497.00.0;PC401629.00.0;PCAS_010210;PCHAS_010210","01","44","OG5_152790","0","5","5","1","null","null","3552"
"PCHAS_0102200","PCHAS_0102200.1","P. chabaudi chabaudi","PCHAS_01_v3:88,088..89,458(-)","conserved Plasmodium protein, unknown function","Previous IDs: PCHAS_010220","01","44","OG5_166869","0","1","1","1","null","null","1371"
"PCHAS_0102300","PCHAS_0102300.1","P. chabaudi chabaudi","PCHAS_01_v3:90,072..92,102(+)","JmjC domain-containing protein, putative","Previous IDs: PC000228.03.0;PCAS_010230;PCHAS_010230","01","44","OG5_165683","0","1","1","1","null","null","2031"
"PCHAS_0102400","PCHAS_0102400.1","P. chabaudi chabaudi","PCHAS_01_v3:92,496..93,899(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000383.05.0;PC300993.00.0;PCAS_010240;PCHAS_010240","01","44","OG5_161479","0","2","2","1","null","null","1281"
"PCHAS_0102500","PCHAS_0102500.1","P. chabaudi chabaudi","PCHAS_01_v3:95,732..97,231(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000506.04.0;PC400519.00.0;PCAS_010250;PCHAS_010250","01","45","OG5_166970","0","1","1","1","null","null","1500"
"PCHAS_0102600","PCHAS_0102600.1","P. chabaudi chabaudi","PCHAS_01_v3:98,451..99,917(-)","RNA-binding protein, putative","Previous IDs: PC000505.04.0;PCAS_010260;PCHAS_010260","01","44","OG5_166971","0","1","1","1","null","null","1467"
"PCHAS_0102700","PCHAS_0102700.1","P. chabaudi chabaudi","PCHAS_01_v3:102,165..103,589(+)","mitochondrial chaperone BCS1, putative","Previous IDs: PC000268.03.0;PCAS_010270;PCHAS_010270","01","44","OG5_128574","0","1","1","1","null","null","1425"
"PCHAS_0102800","PCHAS_0102800.1","P. chabaudi chabaudi","PCHAS_01_v3:104,221..105,759(-)","dihydroorotate dehydrogenase, putative","Previous IDs: PC000269.03.0;PC300902.00.0;PCAS_010280;PCHAS_010280","01","44","OG5_127289","0","1","1","1","null","null","1539"
"PCHAS_0102900","PCHAS_0102900.1","P. chabaudi chabaudi","PCHAS_01_v3:107,013..109,673(-)","trophozoite exported protein 1, putative","Previous IDs: PC000690.00.0;PC000712.04.0;PCAS_010290;PCHAS_010290","01","44","OG5_128069","0","1","1","1","null","null","2661"
"PCHAS_0103000","PCHAS_0103000.1","P. chabaudi chabaudi","PCHAS_01_v3:112,639..113,961(+)","cation/H+ antiporter, putative","Previous IDs: PC000772.04.0;PC000791.03.0;PC300850.00.0;PC300862.00.0;PCAS_010300;PCHAS_010300","01","44","OG5_128780","0","1","1","1","null","null","1323"
"PCHAS_0103100","PCHAS_0103100.1","P. chabaudi chabaudi","PCHAS_01_v3:114,624..120,422(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC300352.00.0;PC301344.00.0;PC403399.00.0;PCAS_010310;PCHAS_010310","01","46","OG5_162064","0","3","3","1","null","null","5511"
"PCHAS_0103200","PCHAS_0103200.1","P. chabaudi chabaudi","PCHAS_01_v3:122,097..123,521(+)","phenylalanine--tRNA ligase, putative","Previous IDs: PC000809.01.0;PC300293.00.0;PC301061.00.0;PCAS_010320;PCHAS_010320","01","44","OG5_128825","0","1","1","1","null","null","1425"
"PCHAS_0103300","PCHAS_0103300.1","P. chabaudi chabaudi","PCHAS_01_v3:123,636..131,318(-)","centrosomal protein CEP76, putative","Previous IDs: PC000436.02.0;PC000810.01.0;PC000840.02.0;PC103017.00.0;PC300638.00.0;PC301060.00.0;PC301526.00.0;PC301831.00.0;PC302413.00.0;PC402308.00.0;PCAS_010330;PCHAS_010330","01","45","OG5_140540","0","20","20","1","null","null","5517"
"PCHAS_0103400","PCHAS_0103400.1","P. chabaudi chabaudi","PCHAS_01_v3:132,070..133,188(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC302227.00.0;PCAS_010340;PCHAS_010340","01","44","OG5_166879","0","1","1","1","null","null","1119"
"PCHAS_0103500","PCHAS_0103500.1","P. chabaudi chabaudi","PCHAS_01_v3:134,397..138,593(-)","conserved Plasmodium protein, unknown function","Previous IDs: PCHAS_010350","01","45","OG5_165453","0","1","1","1","null","null","4197"
"PCHAS_0103600","PCHAS_0103600.1","P. chabaudi chabaudi","PCHAS_01_v3:139,634..144,649(-)","AP2 domain transcription factor, putative","Previous IDs: PC000219.00.0;PC300185.00.0;PC402060.00.0;PCAS_010360;PCHAS_010360","01","41","OG5_150514","0","1","1","1","null","null","5016"
"PCHAS_0103700","PCHAS_0103700.1","P. chabaudi chabaudi","PCHAS_01_v3:148,343..149,051(+)","mitochondrial ribosomal protein L41, putative","Previous IDs: PC000220.00.0;PCAS_010370;PCHAS_010370","01","43","OG5_143072","0","3","3","1","null","null","282"
"PCHAS_0103800","PCHAS_0103800.1","P. chabaudi chabaudi","PCHAS_01_v3:149,718..151,658(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC300032.00.0;PC301703.00.0;PCAS_010380;PCHAS_010380","01","44","OG5_166408","0","1","1","1","null","null","1941"
"PCHAS_0103900","PCHAS_0103900.1","P. chabaudi chabaudi","PCHAS_01_v3:152,447..153,508(+)","conserved protein, unknown function","Previous IDs: PCHAS_010390","01","44","OG5_166881","0","4","4","1","null","null","582"
"PCHAS_0104000","PCHAS_0104000.1","P. chabaudi chabaudi","PCHAS_01_v3:156,275..162,595(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000238.02.0;PC001102.02.0;PC101921.00.0;PC301911.00.0;PC401133.00.0;PCAS_010400;PCHAS_010400","01","34","OG5_165471","0","4","4","1","null","null","6000"
"PCHAS_0104100","PCHAS_0104100.1","P. chabaudi chabaudi","PCHAS_01_v3:163,139..164,575(-)","glyoxalase I-like protein GILP, putative","Previous IDs: PC001101.02.0;PCAS_010410;PCHAS_010410","01","44","OG5_166095","0","6","6","1","null","null","930"
"PCHAS_0104200","PCHAS_0104200.1","P. chabaudi chabaudi","PCHAS_01_v3:165,342..169,475(-)","RAP protein, putative","Previous IDs: PC000793.00.0;PC108665.00.0;PC300114.00.0;PC300639.00.0;PCAS_010420;PCHAS_010420","01","44","OG5_160717","0","1","1","1","null","null","4134"
"PCHAS_0104300","PCHAS_0104300.1","P. chabaudi chabaudi","PCHAS_01_v3:170,281..170,865(-)","conserved Plasmodium protein, unknown function","Previous IDs: PCHAS_010430","01","42","OG5_166972","0","3","3","1","null","null","285"
"PCHAS_0104400","PCHAS_0104400.1","P. chabaudi chabaudi","PCHAS_01_v3:171,522..172,106(+)","50S ribosomal protein L24, putative","Previous IDs: PC000783.04.0;PCAS_010440;PCHAS_010440","01","91","OG5_127372","1","1","1","1","null","null","585"
"PCHAS_0104500","PCHAS_0104500.1","P. chabaudi chabaudi","PCHAS_01_v3:175,385..177,559(+)","RNA-binding protein, putative","Previous IDs: PC000063.02.0;PC300047.00.0;PC302571.00.0;PCAS_010450;PCHAS_010450","01","44","OG5_155454","0","1","1","1","null","null","2175"
"PCHAS_0104600","PCHAS_0104600.1","P. chabaudi chabaudi","PCHAS_01_v3:178,507..179,852(-)","conserved protein, unknown function","Previous IDs: PC000064.02.0;PCAS_010460;PCHAS_010460","01","43","OG5_150557","0","6","6","1","null","null","636"
"PCHAS_0104700","PCHAS_0104700.1","P. chabaudi chabaudi","PCHAS_01_v3:180,699..182,151(+)","serine/threonine protein kinase, putative","Previous IDs: PC000065.02.0;PC000328.00.0;PCAS_010470;PCHAS_010470","01","44","OG5_142552","0","4","4","1","null","null","1062"
"PCHAS_0104800","PCHAS_0104800.1","P. chabaudi chabaudi","PCHAS_01_v3:182,739..183,212(-)","calcium-binding protein, putative","Previous IDs: PC000330.00.0;PCAS_010480;PCHAS_010480","01","43","OG5_159779","0","1","1","1","null","null","474"
"PCHAS_0104900","PCHAS_0104900.1","P. chabaudi chabaudi","PCHAS_01_v3:183,416..185,391(-)","cyclin dependent kinase binding protein, putative","Previous IDs: PC000329.00.0;PCAS_010490;PCHAS_010490","01","44","OG5_144186","0","2","2","1","null","null","1779"
"PCHAS_0105000","PCHAS_0105000.1","P. chabaudi chabaudi","PCHAS_01_v3:185,951..191,741(-)","nucleoside diphosphate kinase, putative","Previous IDs: PC000245.03.0;PC000645.00.0;PC001228.02.0;PC100588.00.0;PC302443.00.0;PCAS_010500;PCHAS_010500","01","46","OG5_133897","0","7","7","1","null","null","5010"
"PCHAS_0105100","PCHAS_0105100.1","P. chabaudi chabaudi","PCHAS_01_v3:193,598..194,371(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC300302.00.0;PCAS_010510;PCHAS_010510","01","44","OG5_166973","0","1","1","1","null","null","774"
"PCHAS_0105200","PCHAS_0105200.1","P. chabaudi chabaudi","PCHAS_01_v3:194,893..200,427(-)","DNA repair protein RAD50, putative","Previous IDs: PC000090.04.0;PC000178.00.0;PC000523.03.0;PCAS_010520;PCHAS_010520","01","44","OG5_127792","0","1","1","1","null","null","5535"
"PCHAS_0105300","PCHAS_0105300.1","P. chabaudi chabaudi","PCHAS_01_v3:203,051..204,521(+)","long chain polyunsaturated fatty acid elongation enzyme, putative","Previous IDs: PC301145.00.0;PCAS_010530;PCHAS_010530","01","44","OG5_126732","0","5","5","1","null","null","867"
"PCHAS_0105400","PCHAS_0105400.1","P. chabaudi chabaudi","PCHAS_01_v3:205,127..207,823(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000263.05.0;PCAS_010540;PCHAS_010540","01","44","OG5_166974","0","1","1","1","null","null","2697"
"PCHAS_0105500","PCHAS_0105500.1","P. chabaudi chabaudi","PCHAS_01_v3:210,313..212,438(+)","RNA-binding protein, putative","Previous IDs: PC000264.05.0;PC302221.00.0;PCAS_010550;PCHAS_010550","01","45","OG5_150164","0","4","4","1","null","null","1626"
"PCHAS_0105600","PCHAS_0105600.1","P. chabaudi chabaudi","PCHAS_01_v3:213,386..214,317(-)","ubiquitin-conjugating enzyme E2 PEX4, putative","Previous IDs: PC000265.05.0;PCAS_010560;PCHAS_010560","01","44","OG5_130212","0","5","5","1","null","null","450"
"PCHAS_0105700","PCHAS_0105700.1","P. chabaudi chabaudi","PCHAS_01_v3:215,927..216,709(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000876.01.0;PCAS_010570;PCHAS_010570","01","44","OG5_166975","0","5","5","1","null","null","375"
"PCHAS_0105800","PCHAS_0105800.1","P. chabaudi chabaudi","PCHAS_01_v3:217,705..220,126(-)","polypyrimidine tract-binding protein, putative","Previous IDs: PC000872.01.0;PC302548.00.0;PCAS_010580;PCHAS_010580","01","44","OG5_127719","0","5","5","1","null","null","1953"
"PCHAS_0105900","PCHAS_0105900.1","P. chabaudi chabaudi","PCHAS_01_v3:221,939..227,343(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000873.01.0;PC402456.00.0;PCAS_010590;PCHAS_010590","01","44","OG5_166976","0","2","2","1","null","null","5277"
"PCHAS_0106000","PCHAS_0106000.1","P. chabaudi chabaudi","PCHAS_01_v3:229,953..234,466(+)","coatomer alpha subunit, putative","Previous IDs: PC000041.02.0;PC000792.04.0;PC302001.00.0;PCAS_010600;PCHAS_010600","01","44","OG5_127808","0","4","4","1","null","null","4161"
"PCHAS_0106100","PCHAS_0106100.1","P. chabaudi chabaudi","PCHAS_01_v3:235,430..236,080(-)","glutaredoxin-like protein","Previous IDs: PC000369.04.0;PC000568.03.0;PCAS_010610;PCHAS_010610","01","44","OG5_127633","0","1","1","1","null","null","651"
"PCHAS_0106200","PCHAS_0106200.1","P. chabaudi chabaudi","PCHAS_01_v3:238,303..241,107(+)","translation initiation factor IF-2, putative","Previous IDs: PC000805.02.0;PC301137.00.0;PC302196.00.0;PCAS_010620;PCHAS_010620","01","45","OG5_127312","0","1","1","1","null","null","2805"
"PCHAS_0106300","PCHAS_0106300.1","P. chabaudi chabaudi","PCHAS_01_v3:242,025..244,999(+)","MYND-type zinc finger protein, putative","Previous IDs: PC000664.00.0;PC000806.02.0;PC300643.00.0;PCAS_010630;PCHAS_010630","01","45","OG5_130443","0","16","16","1","null","null","1422"
"PCHAS_0106400","PCHAS_0106400.1","P. chabaudi chabaudi","PCHAS_01_v3:245,535..246,821(-)","RING zinc finger protein, putative","Previous IDs: PC000110.05.0;PC301635.00.0;PCAS_010640;PCHAS_010640","01","44","OG5_140481","0","2","2","1","null","null","1152"
"PCHAS_0106500","PCHAS_0106500.1","P. chabaudi chabaudi","PCHAS_01_v3:247,836..249,248(+)","uroporphyrinogen III decarboxylase, putative","Previous IDs: PC000094.01.0;PC402167.00.0;PCAS_010650;PCHAS_010650","01","44","OG5_127347","0","2","2","1","null","null","1263"
"PCHAS_0106600","PCHAS_0106600.1","P. chabaudi chabaudi","PCHAS_01_v3:249,724..253,000(-)","G-protein associated signal transduction protein, putative","Previous IDs: PC000069.05.0;PC000095.01.0;PC000811.02.0;PC301880.00.0;PCAS_010660;PCHAS_010660","01","45","OG5_127625","0","13","13","1","null","null","1902"
"PCHAS_0106700","PCHAS_0106700.1","P. chabaudi chabaudi","PCHAS_01_v3:254,162..255,604(+)","4-hydroxybenzoate polyprenyltransferase, putative","Previous IDs: PC000068.05.0;PC300737.00.0;PCAS_010670;PCHAS_010670","01","45","OG5_127332","0","1","1","1","null","null","1443"
"PCHAS_0106800","PCHAS_0106800.1","P. chabaudi chabaudi","PCHAS_01_v3:255,894..258,648(-)","spindle assembly abnormal protein 6, putative","Previous IDs: PC000067.05.0;PC301710.00.0;PC401067.00.0;PCAS_010680;PCHAS_010680","01","46","OG5_129816","0","5","5","1","null","null","2247"
"PCHAS_0106900","PCHAS_0106900.1","P. chabaudi chabaudi","PCHAS_01_v3:263,099..269,428(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000475.04.0;PC001208.02.0;PC106445.00.0;PC401628.00.0;PCAS_010690;PCHAS_010690","01","44","OG5_156822","0","1","1","1","null","null","6330"
"PCHAS_0107000","PCHAS_0107000.1","P. chabaudi chabaudi","PCHAS_01_v3:270,258..272,066(-)","GTP-binding protein, putative","Previous IDs: PC000101.01.0;PC300801.00.0;PCAS_010700;PCHAS_010700","01","44","OG5_165218","0","2","2","1","null","null","1653"
"PCHAS_0107100","PCHAS_0107100.1","P. chabaudi chabaudi","PCHAS_01_v3:272,928..275,264(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000326.02.0;PC000707.01.0;PC301311.00.0;PCAS_010710;PCHAS_010710","01","44","OG5_166977","0","1","1","1","null","null","2337"
"PCHAS_0107200","PCHAS_0107200.1","P. chabaudi chabaudi","PCHAS_01_v3:275,526..277,726(-)","diphthine methyltransferase, putative","Previous IDs: PC000327.02.0;PC301041.00.0;PCAS_010720;PCHAS_010720","01","43","OG5_129020","0","12","12","1","null","null","1050"
"PCHAS_0107300","PCHAS_0107300.1","P. chabaudi chabaudi","PCHAS_01_v3:278,276..281,749(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000403.02.0;PC301040.00.0;PCAS_010730;PCHAS_010730","01","47","OG5_172487","0","1","1","1","null","null","3474"
"PCHAS_0107400","PCHAS_0107400.1","P. chabaudi chabaudi","PCHAS_01_v3:281,878..282,772(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000404.02.0;PCAS_010740;PCHAS_010740","01","45","OG5_166978","0","4","4","1","null","null","477"
"PCHAS_0107500","PCHAS_0107500.1","P. chabaudi chabaudi","PCHAS_01_v3:283,203..286,253(+)","heptatricopeptide repeat-containing protein, putative","Previous IDs: PC000137.01.0;PC000722.04.0;PC302538.00.0;PCAS_010750;PCHAS_010750","01","90","OG5_141545","1","1","1","1","null","null","3051"
"PCHAS_0107550","PCHAS_0107550.1","P. chabaudi chabaudi","PCHAS_01_v3:286,787..288,157(+)","sorting assembly machinery 50 kDa subunit, putative","Previous IDs: PC000137.01.0;PC000722.04.0;PC302538.00.0;PCAS_010750;PCHAS_010755","01","90","OG5_141545","1","1","1","1","null","null","1371"
"PCHAS_0107600","PCHAS_0107600.1","P. chabaudi chabaudi","PCHAS_01_v3:288,603..289,032(-)","conserved Plasmodium protein, unknown function","Previous IDs: PC000138.01.0;PCAS_010760;PCHAS_010760","01","45","OG5_166979","0","2","2","1","null","null","321"
"PCHAS_0107700","PCHAS_0107700.1","P. chabaudi chabaudi","PCHAS_01_v3:290,078..290,889(-)","proteasome subunit alpha type-2, putative","Previous IDs: PC000536.01.0;PC301501.00.0;PCAS_010770;PCHAS_010770","01","43","OG5_127791","0","2","2","1","null","null","708"
"PCHAS_0107800","PCHAS_0107800.1","P. chabaudi chabaudi","PCHAS_01_v3:292,632..293,589(+)","conserved Plasmodium protein, unknown function","Previous IDs: PCHAS_010780","01","6","OG5_205345","0","2","2","1","null","null","603"
"PCHAS_0107900","PCHAS_0107900.1","P. chabaudi chabaudi","PCHAS_01_v3:294,975..296,692(+)","T-complex protein 1 subunit zeta, putative","Previous IDs: PC000439.00.0;PC001184.02.0;PC302325.00.0;PCAS_010790;PCHAS_010790","01","43","OG5_127428","0","2","2","1","null","null","1632"
"PCHAS_0108000","PCHAS_0108000.1","P. chabaudi chabaudi","PCHAS_01_v3:298,818..300,062(+)","ornithine aminotransferase, putative","Previous IDs: PC001183.02.0;PCAS_010800;PCHAS_010800","01","44","OG5_126982","0","1","1","1","null","null","1245"
"PCHAS_0108100","PCHAS_0108100.1","P. chabaudi chabaudi","PCHAS_01_v3:301,180..303,930(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000177.00.0;PCAS_010810;PCHAS_010810","01","44","OG5_166980","0","2","2","1","null","null","2592"
"PCHAS_0108200","PCHAS_0108200.1","P. chabaudi chabaudi","PCHAS_01_v3:305,894..322,117(+)","nucleoporin NUP637, putative","Previous IDs: PC000058.03.0;PC000076.04.0;PC000643.01.0;PC000857.01.0;PC001272.02.0;PC107220.00.0;PC300075.00.0;PC300226.00.0;PC300372.00.0;PCAS_010820;PCHAS_010820","01","47","OG5_153848","0","1","1","1","null","null","16224"
"PCHAS_0108300","PCHAS_0108300.1","P. chabaudi chabaudi","PCHAS_01_v3:322,704..324,408(-)","zinc transporter ZIP1, putative","Previous IDs: PC000437.02.0;PC001273.02.0;PCAS_010830;PCHAS_010830","01","46","OG5_126707","0","7","7","1","null","null","1017"
"PCHAS_0108400","PCHAS_0108400.1","P. chabaudi chabaudi","PCHAS_01_v3:325,889..327,398(+)","citrate synthase-like protein, putative","Previous IDs: PC000338.03.0;PC000862.01.0;PCAS_010840;PCHAS_010840","01","44","OG5_172686","0","2","2","1","null","null","1329"
"PCHAS_0108500","PCHAS_0108500.1","P. chabaudi chabaudi","PCHAS_01_v3:328,504..330,834(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000105.03.0;PC000863.01.0;PC103100.00.0;PC403219.00.0;PCAS_010850;PCHAS_010850","01","44","OG5_166887","0","2","2","1","null","null","2178"
"PCHAS_0108600","PCHAS_0108600.1","P. chabaudi chabaudi","PCHAS_01_v3:331,258..333,042(-)","mitochondrial cardiolipin synthase, putative","Previous IDs: PC000861.01.0;PCAS_010860;PCHAS_010860","01","44","OG5_129472","0","1","1","1","null","null","1785"
"PCHAS_0108700","PCHAS_0108700.1","P. chabaudi chabaudi","PCHAS_01_v3:334,142..338,532(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC103096.00.0;PC103097.00.0;PCAS_010870;PCHAS_010870","01","45","OG5_166432","0","10","10","1","null","null","3336"
"PCHAS_0108800","PCHAS_0108800.1","P. chabaudi chabaudi","PCHAS_01_v3:340,350..345,251(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC000334.00.0;PC301035.00.0;PC401602.00.0;PCAS_010880;PCHAS_010880","01","46","OG5_166981","0","3","3","1","null","null","4707"
"PCHAS_0108900","PCHAS_0108900.1","P. chabaudi chabaudi","PCHAS_01_v3:346,185..347,411(-)","palmitoyltransferase DHHC2, putative","Previous IDs: PC000444.03.0;PC301976.00.0;PCAS_010890;PCHAS_010890","01","131","OG5_126830","2","4","4","1","null","null","855"
"PCHAS_0109000","PCHAS_0109000.1","P. chabaudi chabaudi","PCHAS_01_v3:350,284..355,455(+)","conserved Plasmodium protein, unknown function","Previous IDs: PC001106.02.0;PC300686.00.0;PCAS_010900;PCHAS_010900","01","49","OG5_160935","0","1","1","1","null","null","5172"
"PCHAS_0109100","PCHAS_0109100.1","P. chabaudi chabaudi","PCHAS_01_v3:356,115..357,282(+)","mitochondrial ribosomal protein L19 precursor, putative","Previous IDs: PC000149.04.0;PCAS_010910;PCHAS_010910","01","44","OG5_144136","0","3","3","1","null","null","957"
"PCHAS_0109200","PCHAS_0109200.1","P. chabaudi chabaudi","PCHAS_01_v3:357,475..359,176(-)","pre-mRNA-splicing factor SLU7, putative","Previous IDs: PC000150.04.0;PC302408.00.0;PCAS_010920;PCHAS_010920","01","44","OG5_128138","0","3","3","1","null","null","1293"
"PCHAS_0109300","PCHAS_0109300.1","P. chabaudi chabaudi","PCHAS_01_v3:360,347..361,777(-)","RNA-binding protein 25, putative","Previous IDs: PC000145.04.0;PCAS_010930;PCHAS_010930","01","45","OG5_129375","0","1","1","1","null","null","1431"
"PCHAS_0109400","PCHAS_0109400.1","P. chabaudi chabaudi","PCHAS_01_v3:365,775..366,185(+)","histone H3, putative","Previous IDs: PCHAS_010940","01","89","OG5_126569","1","1","1","1","null","null","411"
"PCHAS_0109500","PCHAS_0109500.1","P. chabaudi chabaudi","PCHAS_01_v3:366,694..367,268(-)","peptidyl-tRNA hydrolase PTRHD1, putative","Previous IDs: PCHAS_010950","01","44","OG5_130573","0","2","2","1","null","null","372"
